0	0	0
0	0	0
0	0	4
0	0	8
0	0	12
4	4	16
4	4	20
8	8	24
8	8	28
12	12	32
16	16	36
20	20	40
24	24	44
28	28	44
32	32	48
36	36	52
40	40	56
40	40	60
40	40	64
40	40	68
40	40	72
44	44	76
44	44	80
44	44	84
44	44	88
44	44	92
44	44	96
44	44	100
44	44	104
44	44	112
44	44	120
40	40	124
40	40	128
40	40	132
40	40	140
36	36	152
36	36	156
36	36	164
32	32	172
32	32	180
28	28	192
24	24	200
20	20	208
16	16	216
12	12	224
8	8	232
4	4	240
0	0	252
0	8	252
0	16	252
0	28	252
0	36	252
0	48	252
0	56	252
0	68	252
0	72	248
0	76	248
4	84	248
4	88	248
8	92	244
8	96	244
12	104	244
12	108	244
16	112	240
16	116	240
20	124	240
20	128	236
24	136	236
28	140	236
28	148	232
28	148	232
32	152	232
32	156	232
32	160	228
32	160	224
36	168	228
36	168	228
36	172	228
32	176	220
32	184	216
32	192	216
28	196	212
28	204	212
28	208	204
24	204	192
24	208	184
24	212	180
24	212	172
20	216	164
20	220	156
20	220	152
24	224	148
24	224	144
24	228	140
24	228	136
28	228	132
28	228	124
28	228	120
28	228	116
28	228	108
32	228	104
32	224	100
32	224	96
32	224	88
32	224	84
36	224	80
36	220	76
36	220	72
40	220	68
40	220	64
40	216	64
40	216	60
40	216	56
40	220	52
40	220	48
36	220	48
36	220	44
36	224	40
32	224	36
32	224	32
28	228	28
24	232	24
20	236	20
16	236	16
12	240	12
8	244	8
4	248	4
0	252	0
8	252	0
20	252	0
32	252	0
44	252	0
56	252	0
68	252	0
80	252	0
92	252	0
104	252	0
116	252	0
128	252	0
140	252	0
152	252	0
164	252	0
176	252	0
188	252	0
192	252	0
196	252	0
200	252	0
204	252	0
208	252	0
212	252	0
216	252	0
220	252	0
224	252	0
228	252	0
232	252	0
236	252	0
240	252	0
244	252	0
244	252	0
248	252	0
248	248	0
248	244	0
248	240	0
248	240	0
248	236	0
248	232	0
248	228	0
248	228	0
248	224	0
248	220	0
248	216	0
248	216	0
248	212	0
248	208	0
248	204	0
248	204	0
248	196	0
248	188	0
248	180	0
248	172	0
248	164	0
248	156	0
248	152	0
248	144	0
248	136	0
248	128	0
248	120	0
248	112	0
248	104	0
248	96	0
248	88	0
248	84	0
248	76	0
248	72	0
248	68	0
248	60	0
248	56	0
248	52	0
248	44	0
248	40	0
248	36	0
248	28	0
248	24	0
248	20	0
248	16	0
248	8	0
248	4	0
248	0	0
248	0	4
248	0	12
248	0	20
248	0	28
248	0	36
248	0	44
248	0	52
248	0	60
248	0	68
248	0	76
248	0	84
248	0	92
248	0	100
248	0	108
248	0	116
248	0	124
248	0	132
248	0	140
248	0	148
248	0	156
248	0	164
248	0	172
248	0	180
248	0	188
248	0	196
248	0	200
248	0	208
248	0	216
248	0	224
248	0	232
248	0	240
248	0	248
248	12	248
248	28	248
248	44	248
248	60	248
248	76	248
248	92	248
248	108	248
248	124	248
248	136	248
248	152	248
248	168	248
248	184	248
248	200	248
248	216	248
248	232	248
248	248	248
